gene	Ctrl1-SRR5136882	Ctrl2-SRR5136883	Ctrl3-SRR5137136	ZIKV1-SRR5137139	ZIKV2-SRR5137142	ZIKV3-SRR5137144
Ckap4	6922.209753	6725.618721	7190.73965	6596.729795	5868.973944	6245.84891
Ckap5	21287.6558	21899.63466	21904.01031	18510.92146	18186.79051	18942.0657
Ckb	34197.78251	32381.90528	29292.4375	28066.01769	30912.27234	28272.74239
Cklf	804.3138921	874.5022594	935.2585815	719.8849964	763.493766	749.9028868
Ckm	4.443723161	9.043456664	1.156067468	36.08922145	22.84331176	57.14500608
Ckmt1	6686.692426	6931.809533	5978.024876	3589.927818	6048.206082	4504.43004
Ckmt2	2.22186158	1.808691333	4.624269871	7.597730832	2.635766741	10.02543966
Cks1b	925.4053482	853.7023091	904.0447598	667.6505969	962.9334494	801.032629
Cks1brt	0	0	0	9.49716354	0	8.02035173
Cks2	338.833891	267.6863173	305.2018115	362.7916472	415.5725562	368.9361796
Clasp1	20593.32406	21284.6796	19998.81113	11678.66201	11541.14397	11335.76463
Clasp2	41546.58969	44393.42442	42961.77924	25167.48338	27696.63692	25608.98307
Clasrp	1858.587212	1764.378395	2635.833827	3359.146744	3203.335179	3801.64672
Clba1	592.1261112	654.7462625	663.5827265	1067.481182	1010.377251	926.3506248
Clca1	2.22186158	0	4.624269871	0	8.785889137	2.005087933
Clca2	6.665584741	10.852148	2.312134936	13.29602896	12.30024479	13.03307156
Clca3a1	158.863103	152.8344176	142.1962985	636.3099572	366.371577	482.2236478
Clca3a2	7.776515531	22.60864166	16.18494455	20.89375979	25.4790785	20.05087933
Clca3b	0	0	0	1.899432708	1.757177827	4.010175865
Clca4a	6.665584741	2.713036999	6.936404807	0.949716354	2.635766741	0
Clca4b	0	0.904345666	0	0	0	0
Clca4c-ps	3.33279237	0	0	0	1.757177827	4.010175865
Clcc1	1299.789024	1172.936329	1277.454552	1859.544621	1782.656906	1845.683442
Clcf1	0	0	0	20.89375979	7.02871131	24.06105519
Clcn1	159.9740338	230.6081449	292.4850694	461.5621481	273.2411522	458.1625926
Clcn2	1588.63103	1556.378892	1914.447727	1966.862569	1561.2525	1835.658002
Clcn3	22443.02382	22788.60645	21708.63491	13997.86934	15117.87944	14723.36069
Clcn4	24789.30965	26590.47563	25543.3107	13266.58775	15773.30677	15405.09059
Clcn5	4144.882778	4166.320485	3936.409728	3126.466238	2914.279427	2618.64484
Clcn6	9327.374914	10098.82806	10249.69417	7865.550844	7885.335501	7839.893816
Clcn7	2708.449266	2694.950086	2609.244275	3927.077124	3545.984856	3786.608561
Clcnka	2.22186158	3.617382666	0	10.44687989	8.785889137	6.015263798
Clcnkb	22.2186158	7.234765331	2.312134936	16.14517802	10.54306696	8.02035173
Cldn1	379.9383302	434.0859199	426.5888956	830.0520934	449.8375238	523.3279504
Cldn10	624.3431041	535.3726345	420.8085583	243.1273866	343.5282653	226.5749364
Cldn11	1318.674848	490.1553512	1169.940277	1963.063704	386.579122	853.1649153
Cldn12	2589.579672	2829.69759	2724.851022	2883.338851	3039.039053	3354.512111
Cldn13	0	3.617382666	0	37.98865416	29.87202307	27.06868709
Cldn14	8.887446321	2.713036999	2.312134936	5.698298124	16.69318936	10.02543966
Cldn15	5.554653951	11.75649366	8.092472275	148.1557512	162.538949	165.4197544
Cldn16	0	1.808691333	0	1.899432708	0	0
Cldn17	2.22186158	0	0	1.899432708	3.514355655	0
Cldn18	0	0.904345666	8.092472275	9.49716354	8.785889137	12.0305276
Cldn19	68.87770899	76.86938164	72.83225047	268.7697282	130.0311592	172.4375622
Cldn2	191.0800959	209.8081946	206.9360767	408.3780322	228.4331176	181.4604579
Cldn20	17.77489264	31.65209832	36.99415897	13.29602896	27.23625632	14.03561553
Cldn23	153.308449	203.4777749	141.0402311	164.3009293	189.7752054	186.4731777
Cldn24	0	0	0	0	0	2.005087933
Cldn3	304.3950365	359.9295752	356.0687801	258.3228483	422.6012675	445.129521
Cldn34-ps	0	0	0	2.849149062	0	4.010175865
Cldn34c1	438.8176621	434.0859199	519.074293	242.1776703	280.2698635	254.6461674
Cldn4	2.22186158	0	2.312134936	39.88808687	20.20754502	24.06105519
Cldn5	3956.024544	3760.269281	4234.675135	6382.093899	5263.626182	5209.218449
Cldn6	37.77164687	50.64335732	43.93056378	66.48014478	69.40852418	58.14755004
Cldn7	7.776515531	8.139110998	4.624269871	18.99432708	12.30024479	12.0305276
Cldn9	6.665584741	12.66083933	6.936404807	27.54177427	22.84331176	43.10939055
Cldnd1	5215.82006	5176.474594	5120.222815	4963.217666	5355.878018	5421.75777
Cldnd2	4.443723161	7.234765331	6.936404807	10.44687989	10.54306696	4.010175865
Clec10a	31.10606212	22.60864166	39.30629391	7.597730832	0	6.015263798
Clec11a	177.7489264	217.9473056	212.7164141	274.4680263	368.1287548	291.7402942
Clec12a	17.77489264	30.74775266	4.624269871	407.4283159	138.8170484	250.6359916
Clec12b	4.443723161	6.330419665	8.092472275	4.74858177	1.757177827	8.02035173
Clec14a	571.0184261	533.5639432	616.1839603	2945.070414	1353.905516	2018.121004
Clec16a	9082.97014	9807.628752	9432.35447	6313.714322	6194.051842	6104.490211
Clec18a	21.10768501	23.51298733	18.49707948	36.08922145	23.72190067	30.07631899
Clec1a	244.4047738	239.6516016	157.2251756	309.6075314	208.2255725	228.5800243
