name	CTRL-1	CTRL-2	CTRL-3	CTRL-4	CTRL-5	CTRL-6	CTRL-7	CTRL-8	ZIKV-1	ZIKV-2	ZIKV-3	ZIKV-4	ZIKV-5	ZIKV-6	ZIKV-7	ZIKV-8
Pyridoxamine	6.43902E-05	8.13863E-05	4.68239E-05	7.69279E-05	6.74105E-05	7.30333E-05	4.38858E-05	7.70082E-05	0.000110115	0.000176238	0.000279333	0.000266783	0.00034875	0.000198857	0.000273119	0.000198851
Taurine	0.076164449	0.077366969	0.077697279	0.071997223	0.081978524	0.077799437	0.081160907	0.086504855	0.071037616	0.063354465	0.066158844	0.052106502	0.064020029	0.060518386	0.056036301	0.068157455
Glucosamine 6-phosphate	3.46549E-05	3.53436E-05	3.61377E-05	4.05685E-05	4.39943E-05	3.82328E-05	3.10998E-05	4.33234E-05	2.34691E-05	1.79412E-05	2.4793E-05	1.82442E-05	2.30979E-05	3.36086E-05	2.45244E-05	2.56616E-05
Glutamine	0.038566774	0.03945059	0.036962013	0.030362987	0.044331963	0.039905723	0.034817189	0.033961474	0.050043452	0.047610856	0.046799226	0.045330911	0.05306711	0.047015531	0.044824595	0.051569291
dCTP	0.000875706	0.000976236	0.000995377	0.000803946	0.000926186	0.000868757	0.000929536	0.00105814	0.000709861	0.000647678	0.000799229	0.000419502	0.000502087	0.000559967	0.000498583	0.000711199
Cystathionine 	0.001748323	0.00196235	0.001513369	0.000923922	0.001424082	0.001964925	0.001645875	0.001399628	0.002931353	0.003149426	0.003662189	0.003738838	0.003366679	0.002548166	0.001872667	0.003781131
Carnitine-C18	0.000230584	0.000272006	0.000235545	0.000241433	0.000213635	0.00015711	9.53985E-05	0.000143196	0.000645254	0.004603657	0.002997702	0.001883458	0.003138426	0.003375579	0.002353764	0.002150548
Alpha-ketoisovaleric acid	6.12212E-05	8.39166E-05	6.70899E-05	4.32288E-05	5.62486E-05	5.84E-05	9.81288E-05	5.23203E-05	8.9103E-05	0.000121643	0.000127067	0.000129554	0.000122078	0.00017738	0.000118034	0.000144655
GSSG	0.002133924	0.002407985	0.002387824	0.001370269	0.001974761	0.0025681	0.002512852	0.00227126	0.001393295	0.001140808	0.001654195	0.000801637	0.001093671	0.000794268	0.000590221	0.001377539
Methionine	0.006512899	0.008944011	0.009600245	0.007198364	0.008614142	0.008732148	0.008482304	0.007522015	0.009511487	0.012854655	0.016637273	0.018307834	0.015779469	0.019610964	0.01513232	0.02136796
Valine-Norvaline	0.008458231	0.008985887	0.009606559	0.00765115	0.0062647	0.006493327	0.007566859	0.0068849	0.009023331	0.011596641	0.013946981	0.010830516	0.010571074	0.012135984	0.012290723	0.011505497
Phosphopyruvic acid	0.002910237	0.002841834	0.00340655	0.00310289	0.002293972	0.001703398	0.003084907	0.002826987	0.001689115	0.001205071	0.001746857	0.00076165	0.001840263	0.001425826	0.001803751	0.001224029
NADH	0.00055196	0.000393797	0.000345147	0.000477754	0.000388814	0.000400265	0.000485618	0.000372818	0.000308235	0.000203072	0.000292451	0.000306272	0.000201074	0.000283586	0.000274441	0.000226264
Argininosuccinic acid	0.000335477	0.000316829	0.000318891	0.000234088	0.00032903	0.000345294	0.000257515	0.000369761	0.000412636	0.000621684	0.000631334	0.000752537	0.000817698	0.000506908	0.000538513	0.000495555
Thiamine pyrophosphate	0.001777146	0.001786063	0.00175435	0.001551752	0.001963553	0.001686522	0.001807614	0.001869623	0.001508625	0.001274133	0.001484162	0.001467084	0.001497349	0.001555131	0.00131166	0.001560894
Cytidine	0.000732296	0.000689821	0.000631712	0.001002875	0.000572218	0.000683054	0.00066597	0.000668797	0.001646467	0.002344292	0.002101376	0.002658977	0.002680302	0.003514381	0.005017596	0.002264866
NAD	0.001220287	0.001293721	0.001171055	0.000999952	0.001393574	0.001293069	0.001384653	0.001458723	0.001073935	0.000767576	0.001032225	0.000678477	0.000831689	0.000859691	0.000643062	0.000971336
Hydroxyproline	0.001091493	0.001471157	0.002192437	0.002264268	0.001443745	0.00158851	0.001924332	0.00152319	0.00230916	0.002875304	0.002300397	0.003235454	0.002351858	0.00309315	0.003073003	0.003330938
4-Hydroxy-3-methoxyphenylglycol	2.88837E-06	3.05058E-06	3.42467E-06	2.50779E-06	2.70864E-06	4.53336E-06	4.08767E-06	3.44357E-06	4.23169E-06	5.80304E-06	5.41037E-06	4.17051E-06	5.75341E-06	5.12329E-06	5.45857E-06	4.95191E-06
Carnitine-C16	8.20871E-05	9.45502E-05	8.3528E-05	9.82301E-05	7.45811E-05	4.89446E-05	3.11422E-05	4.4515E-05	0.000192989	0.001257933	0.00090855	0.000445266	0.000768622	0.000775716	0.000544051	0.000554064
